"polarityid";"tweetid";"entity";"type";"value"
"25111";"142389495503925248";;"AGREEMENT";"NONE"
"25112";"142389933619945473";;"DISAGREEMENT";"NEU"
"25113";"142389933619945473";"@PauladeLasHeras";"DISAGREEMENT";"NEU"
"25114";"142391947707940864";;"AGREEMENT";"P"
"25115";"142391947707940864";"@marodriguezb";"AGREEMENT";"P"
"25116";"142416095012339712";;"AGREEMENT";"N+"
"25117";"142416095012339712";"Sinde";"AGREEMENT";"N+"
"25118";"142416095012339712";"SGAE";"AGREEMENT";"N+"
"25119";"142422495721562112";;"AGREEMENT";"P+"
"25120";"142424715175280640";;"AGREEMENT";"NONE"
"25121";"142483342040907776";;"AGREEMENT";"P+"
"25122";"142493511634259968";;"AGREEMENT";"NONE"
"25123";"142494476051562496";;"AGREEMENT";"P+"
"25124";"142494476051562496";"Miguel";"AGREEMENT";"P+"
"25125";"142494476051562496";"@libertadmontes";"AGREEMENT";"P+"
"25126";"142496796416016384";;"AGREEMENT";"P+"
"25127";"142497735814287360";;"AGREEMENT";"P+"
"25128";"142497735814287360";"Orbyt";"AGREEMENT";"P+"
"25129";"142499355360903168";;"AGREEMENT";"P+"
"25130";"142504935853006848";;"AGREEMENT";"N+"
"25131";"142507006832553984";;"AGREEMENT";"P"
"25132";"142509609565962240";;"AGREEMENT";"P+"
"25133";"142509609565962240";"@Carlos_Latre";"AGREEMENT";"P+"
"25134";"142512151628750849";;"AGREEMENT";"NONE"
"25135";"142512293681438720";;"AGREEMENT";"NONE"
"25136";"142513785154969600";;"AGREEMENT";"P+"
"25137";"142513785154969600";"Universidad";"AGREEMENT";"P+"
"25138";"142513785154969600";"De_La_Calle";"AGREEMENT";"P+"
"25139";"142517740517867520";;"AGREEMENT";"P"
"25140";"142517740517867520";"Zapatero";"AGREEMENT";"P"
"25141";"142521019171749888";;"AGREEMENT";"N"
"25142";"142521019171749888";"Recio";"AGREEMENT";"N"
"25143";"142521249246097408";;"AGREEMENT";"N"
"25144";"142521301054140416";;"AGREEMENT";"N"
"25145";"142521301054140416";"PP";"AGREEMENT";"N"
"25146";"142536698188931072";;"AGREEMENT";"N+"
"25147";"142536698188931072";"Seguridad_Social";"AGREEMENT";"N+"
"25148";"142539660835557376";;"AGREEMENT";"N"
"25149";"142539660835557376";"A-6";"AGREEMENT";"N"
"25150";"142545185308540928";;"AGREEMENT";"P"
"25151";"142545185308540928";"Niall_Binns";"AGREEMENT";"P+"
"25152";"142545185308540928";"Nicanor_Parra";"AGREEMENT";"P+"
"25153";"142545757445173248";;"AGREEMENT";"N"
"25154";"142548640685228032";;"AGREEMENT";"P+"
"25155";"142548640685228032";"@merpastor";"AGREEMENT";"P+"
"25156";"142548640685228032";"@GFVara";"AGREEMENT";"P+"
"25157";"142548640685228032";"@24horas_rne";"AGREEMENT";"P+"
"25158";"142548640685228032";"@CarmendelRiego";"AGREEMENT";"P+"
"25159";"142552759953141761";;"AGREEMENT";"P"
"25160";"142556824292442112";;"AGREEMENT";"P+"
"25161";"142556824292442112";"@RdscubreNavidad";"AGREEMENT";"P+"
"25162";"142558452257013760";;"AGREEMENT";"NONE"
"25163";"142561346645540864";;"AGREEMENT";"NONE"
"25164";"142569992418897922";;"AGREEMENT";"P"
"25165";"142574119152648192";;"AGREEMENT";"N"
"25166";"142574138685526016";;"AGREEMENT";"N"
"25167";"142574138685526016";"ETA";"AGREEMENT";"N"
"25168";"142579555402653696";;"AGREEMENT";"N"
"25169";"142579605327450115";;"DISAGREEMENT";"NEU"
"25170";"142579605327450115";"PV";"AGREEMENT";"P+"
"25171";"142579605327450115";"La_Rioja";"AGREEMENT";"N+"
"25172";"142579874547249152";;"AGREEMENT";"P"
"25173";"142579874547249152";"La_Armada";"AGREEMENT";"P"
"25174";"142579874547249152";"Copa_Davis";"AGREEMENT";"P"
"25175";"142579876459847680";;"AGREEMENT";"N+"
"25176";"142579876459847680";"PSE";"AGREEMENT";"N+"
"25177";"142579876459847680";"Jesús_Eguiguren";"AGREEMENT";"N+"
"25178";"142582871591362560";;"DISAGREEMENT";"N"
"25179";"142582871591362560";"España";"AGREEMENT";"N+"
"25180";"142582871591362560";"Madrid";"AGREEMENT";"P"
"25181";"142589717148479489";;"AGREEMENT";"NONE"
"25182";"142593149913673728";;"AGREEMENT";"P"
"25183";"142593149913673728";"@Pepemaras";"AGREEMENT";"P"
"25184";"142593149913673728";"@PopularesCyL";"AGREEMENT";"P"
"25185";"142593149913673728";"@anamariavielba";"AGREEMENT";"P"
"25186";"142593149913673728";"@marmarev";"AGREEMENT";"P"
"25187";"142593149913673728";"@ajimnezvelayos";"AGREEMENT";"P"
"25188";"142593149913673728";"@jmoreta23";"AGREEMENT";"P"
"25189";"142593149913673728";"@dllanosg";"AGREEMENT";"P"
"25190";"142593149913673728";"@c_floriano";"AGREEMENT";"P"
"25191";"142593771790532608";;"DISAGREEMENT";"N"
"25192";"142594023780134912";;"AGREEMENT";"NONE"
"25193";"142598684511711233";;"DISAGREEMENT";"NEU"
"25194";"142598684511711233";"IU";"DISAGREEMENT";"NEU"
"25195";"142603527712280577";;"AGREEMENT";"NONE"
"25196";"142606640099762176";;"AGREEMENT";"P+"
"25197";"142606640099762176";"@TuDNIe";"AGREEMENT";"P+"
"25198";"142608911256662016";;"AGREEMENT";"P"
"25199";"142608911256662016";"Valencia";"AGREEMENT";"P"
"25200";"142608911256662016";"España";"AGREEMENT";"P"
"25201";"142610350083276800";;"AGREEMENT";"NONE"
"25202";"142624216959819776";;"AGREEMENT";"P"
"25203";"142624216959819776";"@maria_rey";"AGREEMENT";"P"
"25204";"142624216959819776";"@martacerame";"AGREEMENT";"P"
"25205";"142637480934514688";;"AGREEMENT";"N"
"25206";"142637480934514688";"Ciudad_de_las_Artes_y_Ciencias";"AGREEMENT";"N"
"25207";"142637480934514688";"Valencia";"AGREEMENT";"N"
"25208";"142658962175705090";;"AGREEMENT";"NONE"
"25209";"142660083946491905";;"AGREEMENT";"P"
