"topicid";"tweetid";"topic"
"19135";"142389495503925248";"otros"
"19136";"142389933619945473";"otros"
"19137";"142391947707940864";"otros"
"19138";"142416095012339712";"política"
"19139";"142416095012339712";"economía"
"19140";"142422495721562112";"otros"
"19141";"142424715175280640";"música"
"19142";"142483342040907776";"entretenimiento"
"19143";"142493511634259968";"política"
"19144";"142494476051562496";"otros"
"19145";"142496796416016384";"política"
"19146";"142497735814287360";"entretenimiento"
"19147";"142499355360903168";"economía"
"19148";"142499355360903168";"política"
"19149";"142504935853006848";"entretenimiento"
"19150";"142507006832553984";"otros"
"19151";"142509609565962240";"entretenimiento"
"19152";"142512151628750849";"otros"
"19153";"142512151628750849";"entretenimiento"
"19154";"142512293681438720";"otros"
"19155";"142513785154969600";"política"
"19156";"142517740517867520";"política"
"19157";"142521019171749888";"economía"
"19158";"142521019171749888";"política"
"19159";"142521249246097408";"política"
"19160";"142521301054140416";"política"
"19161";"142521301054140416";"economía"
"19163";"142536698188931072";"economía"
"19162";"142536698188931072";"política"
"19164";"142539660835557376";"otros"
"19165";"142545185308540928";"literatura"
"19166";"142545757445173248";"otros"
"19167";"142545757445173248";"entretenimiento"
"19168";"142548640685228032";"entretenimiento"
"19169";"142552759953141761";"política"
"19170";"142556824292442112";"entretenimiento"
"19171";"142558452257013760";"literatura"
"19172";"142561346645540864";"deportes"
"19173";"142569992418897922";"economía"
"19174";"142574119152648192";"política"
"19175";"142574138685526016";"política"
"19177";"142579555402653696";"entretenimiento"
"19176";"142579555402653696";"política"
"19178";"142579605327450115";"política"
"19179";"142579605327450115";"economía"
"19180";"142579874547249152";"deportes"
"19181";"142579876459847680";"política"
"19183";"142582871591362560";"economía"
"19182";"142582871591362560";"política"
"19184";"142589717148479489";"otros"
"19185";"142593149913673728";"política"
"19186";"142593771790532608";"política"
"19187";"142594023780134912";"política"
"19188";"142598684511711233";"política"
"19189";"142598684511711233";"economía"
"19190";"142603527712280577";"entretenimiento"
"19191";"142606640099762176";"entretenimiento"
"19192";"142608911256662016";"otros"
"19193";"142608911256662016";"música"
"19194";"142610350083276800";"tecnología"
"19195";"142624216959819776";"otros"
"19196";"142637480934514688";"política"
"19197";"142637480934514688";"entretenimiento"
"19199";"142658962175705090";"cine"
"19198";"142658962175705090";"música"
"19200";"142660083946491905";"economía"
"19201";"142660083946491905";"política"
