"tweetid";"user";"date";"lang";"content"
"142389495503925248";"ccifuentes";"2011-12-02 00:47:55";"es";"Salgo de #VeoTV , que día más largoooooo..."
"142389933619945473";"CarmendelRiego";"2011-12-02 00:49:40";"es";"@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias"
"142391947707940864";"CarmendelRiego";"2011-12-02 00:57:40";"es";"@marodriguezb Gracias MAR"
"142416095012339712";"mgilguerrero";"2011-12-02 02:33:37";"es";"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)"
"142422495721562112";"paurubio";"2011-12-02 02:59:03";"es";"Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!"
"142424715175280640";"paurubio";"2011-12-02 03:07:52";"es";"RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio..."
"142483342040907776";"Carlos_Latre";"2011-12-02 07:00:50";"es";"Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!"
"142493511634259968";"Ignacos";"2011-12-02 07:41:15";"es";"Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES."
"142494476051562496";"nacho_uriarte";"2011-12-02 07:45:05";"es";"Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana."
"142496796416016384";"JuanraLucas";"2011-12-02 07:54:19";"es";"Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb"
"142497735814287360";"pedroj_ramirez";"2011-12-02 07:58:02";"es";"Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más."
"142499355360903168";"sevillajordi";"2011-12-02 08:04:28";"es";"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?"
"142504935853006848";"Carlos_Latre";"2011-12-02 08:26:38";"es";"#programascambiados caca d ajuste"
"142507006832553984";"Lissavetzky_M";"2011-12-02 08:34:52";"es";"Buen viernes"
"142509609565962240";"Carlos_Latre";"2011-12-02 08:45:13";"es";"""@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre"" GRACIAS POR EL BUEN RATO AMIGOS!!;)"
"142512151628750849";"PaulaVazquezTV";"2011-12-02 08:55:19";"es";"Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?"
"142512293681438720";"mariviromero";"2011-12-02 08:55:53";"es";"Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu"
"142513785154969600";"mariviromero";"2011-12-02 09:01:48";"es";"La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija"
"142517740517867520";"iescolar";"2011-12-02 09:17:31";"es";"¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG"
"142521019171749888";"mariviromero";"2011-12-02 09:30:33";"es";"abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ"
"142521249246097408";"mariviromero";"2011-12-02 09:31:28";"es";"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB"
"142521301054140416";"sanchezcastejon";"2011-12-02 09:31:40";"es";"La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas"
"142536698188931072";"ccifuentes";"2011-12-02 10:32:51";"es";"Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE"
"142539660835557376";"anabelenroy_tve";"2011-12-02 10:44:38";"es";"Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad"
"142545185308540928";"jesusmarana";"2011-12-02 11:06:35";"es";"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by"
"142545757445173248";"ristomejide";"2011-12-02 11:08:51";"es";"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán."
"142548640685228032";"estherpalomera";"2011-12-02 11:20:19";"es";"Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria"
"142552759953141761";"zoidoalcalde";"2011-12-02 11:36:41";"es";"Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy"
"142556824292442112";"RV1805";"2011-12-02 11:52:50";"es";"#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!"
"142558452257013760";"Cepeda";"2011-12-02 11:59:18";"es";"""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"""
"142561346645540864";"javiersolana";"2011-12-02 12:10:48";"es";"Open Master Class@javiersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… ."
